0,0,22133
0,1,22133
0,2,22133
0,3,22133
0,4,22132
0,5,22133
1,0,22133
1,1,22133
1,2,22133
1,3,22133
1,4,22132
1,5,22133
2,0,22190
2,1,22190
2,2,22190
2,3,22190
2,4,22190
2,5,22190
3,0,22190
3,1,22190
3,2,22190
3,3,22190
3,4,22190
3,5,22190
4,0,4
4,1,4
4,2,4
4,3,4
4,4,4
4,5,4
5,0,22150
5,1,22150
5,2,22150
5,3,22150
5,4,22150
5,5,22150
6,0,4
6,1,4
6,2,4
6,3,4
6,4,4
6,5,4
7,0,22297
7,1,22297
7,2,22246
7,3,22298
7,4,22298
7,5,22298
8,0,2
8,1,2
8,2,2
8,3,2
8,4,2
8,5,2
9,0,2
9,1,2
9,2,2
9,3,2
9,4,2
9,5,2
10,0,22206
10,1,22206
10,2,22204
10,3,22206
10,4,22188
10,5,22206
11,0,22206
11,1,22206
11,2,22206
11,3,22206
11,4,22188
11,5,22206
12,0,22210
12,1,22195
12,2,22210
12,3,22210
12,4,22195
12,5,22195
13,0,3
13,1,3
13,2,3
13,3,3
13,4,3
13,5,3
14,0,3
14,1,3
14,2,3
14,3,3
14,4,3
14,5,3
15,0,3
15,1,3
15,2,3
15,3,3
15,4,3
15,5,3
