0,0,2153
0,1,2153
0,2,2144
0,3,2153
0,4,2152
0,5,2153
1,0,2153
1,1,2153
1,2,2144
1,3,2153
1,4,2152
1,5,2153
2,0,2085
2,1,2085
2,2,2144
2,3,2085
2,4,2167
2,5,2085
3,0,2085
3,1,2085
3,2,2144
3,3,2085
3,4,2167
3,5,2085
4,0,4
4,1,4
4,2,4
4,3,4
4,4,4
4,5,4
5,0,2099
5,1,2099
5,2,2144
5,3,2099
5,4,2153
5,5,2099
6,0,4
6,1,4
6,2,4
6,3,4
6,4,4
6,5,4
7,0,2078
7,1,2078
7,2,2152
7,3,2074
7,4,2153
7,5,2101
8,0,2
8,1,2
8,2,2
8,3,2
8,4,2
8,5,2
9,0,2
9,1,2
9,2,2
9,3,2
9,4,2
9,5,2
10,0,2144
10,1,2144
10,2,2144
10,3,2144
10,4,2144
10,5,2144
11,0,2144
11,1,2144
11,2,2144
11,3,2144
11,4,2144
11,5,2144
12,0,2061
12,1,2061
12,2,2144
12,3,2061
12,4,2152
12,5,2061
13,0,2113
13,1,2113
13,2,2153
13,3,2118
13,4,2167
13,5,2113
14,0,3
14,1,3
14,2,3
14,3,3
14,4,3
14,5,3
15,0,3
15,1,3
15,2,3
15,3,3
15,4,3
15,5,3
