0,0,22326
0,1,22326
0,2,22326
0,3,22326
0,4,22326
0,5,22326
1,0,22326
1,1,22326
1,2,22326
1,3,22326
1,4,22326
1,5,22326
2,0,22440
2,1,22440
2,2,22439
2,3,22401
2,4,22404
2,5,22438
3,0,22440
3,1,22440
3,2,22439
3,3,22401
3,4,22404
3,5,22438
4,0,4
4,1,4
4,2,4
4,3,4
4,4,4
4,5,4
5,0,22244
5,1,22244
5,2,22244
5,3,22244
5,4,22239
5,5,22244
6,0,4
6,1,4
6,2,4
6,3,4
6,4,4
6,5,4
7,0,22468
7,1,22468
7,2,22468
7,3,22468
7,4,22468
7,5,22468
8,0,2
8,1,2
8,2,2
8,3,2
8,4,2
8,5,2
9,0,2
9,1,2
9,2,2
9,3,2
9,4,2
9,5,2
10,0,2
10,1,2
10,2,2
10,3,2
10,4,2
10,5,2
11,0,2
11,1,2
11,2,2
11,3,2
11,4,2
11,5,2
12,0,22338
12,1,22338
12,2,22324
12,3,22328
12,4,22338
12,5,22324
13,0,3
13,1,3
13,2,3
13,3,3
13,4,3
13,5,3
14,0,3
14,1,3
14,2,3
14,3,3
14,4,3
14,5,3
15,0,3
15,1,3
15,2,3
15,3,3
15,4,3
15,5,3
