0,0,22152
0,1,22152
0,2,22152
0,3,22152
0,4,22152
0,5,22152
1,0,22152
1,1,22152
1,2,22152
1,3,22152
1,4,22152
1,5,22152
2,0,22237
2,1,22237
2,2,22237
2,3,22237
2,4,22237
2,5,22237
3,0,22237
3,1,22237
3,2,22237
3,3,22237
3,4,22237
3,5,22237
4,0,4
4,1,4
4,2,4
4,3,4
4,4,4
4,5,4
5,0,22026
5,1,22026
5,2,22026
5,3,22026
5,4,22026
5,5,22026
6,0,4
6,1,4
6,2,4
6,3,4
6,4,4
6,5,4
7,0,22225
7,1,22225
7,2,22225
7,3,22228
7,4,22228
7,5,22228
8,0,2
8,1,2
8,2,2
8,3,2
8,4,2
8,5,2
9,0,2
9,1,2
9,2,2
9,3,2
9,4,2
9,5,2
10,0,22205
10,1,22205
10,2,22205
10,3,22205
10,4,22205
10,5,22205
11,0,22205
11,1,22205
11,2,22205
11,3,22205
11,4,22205
11,5,22205
12,0,22169
12,1,22169
12,2,22169
12,3,22169
12,4,22165
12,5,22169
13,0,3
13,1,3
13,2,3
13,3,3
13,4,3
13,5,3
14,0,3
14,1,3
14,2,3
14,3,3
14,4,3
14,5,3
15,0,3
15,1,3
15,2,3
15,3,3
15,4,3
15,5,3
