0,15,18,22,25,20,11,21,26,32,25,33,15,11,32,30,29,30,15,32,31,18,26,36,30,33
15,0,32,14,32,32,24,21,31,17,15,26,16,26,46,45,42,40,22,28,16,29,39,46,27,37
18,32,0,34,20,23,16,36,36,47,43,50,23,9,21,13,25,32,27,47,49,10,12,23,34,30
22,14,34,0,25,42,33,35,45,15,29,40,11,32,53,47,51,52,35,42,22,26,36,40,14,26
25,32,20,25,0,41,31,46,50,40,47,57,15,25,41,29,45,50,40,56,46,10,14,15,18,10
20,32,23,42,41,0,10,20,13,50,33,35,35,15,20,29,11,10,11,30,46,31,36,47,50,50
11,24,16,33,31,10,0,20,19,42,30,35,25,7,22,25,18,20,11,31,40,22,28,39,40,41
21,21,36,35,46,20,20,0,12,36,14,15,33,26,40,46,31,25,10,11,29,39,47,57,47,54
26,31,36,45,50,13,19,12,0,48,26,24,40,26,33,42,23,13,10,17,41,41,48,58,55,59
32,17,47,15,40,50,42,36,48,0,25,35,25,43,64,60,60,58,40,40,11,41,50,55,26,41
25,15,43,29,47,33,30,14,26,25,0,11,32,35,52,55,44,39,22,15,15,42,52,60,43,53
33,26,50,40,57,35,35,15,24,35,11,0,42,41,55,60,46,38,25,7,25,51,60,69,54,63
15,16,23,11,15,35,25,33,40,25,32,42,0,22,43,36,42,45,30,43,30,15,25,30,15,21
11,26,9,32,25,15,7,26,26,43,35,41,22,0,21,20,20,25,18,38,42,15,21,32,36,35
32,46,21,53,41,20,22,40,33,64,52,55,43,21,0,15,11,22,30,50,62,31,30,40,55,50
30,45,13,47,29,29,25,46,42,60,55,60,36,20,15,0,25,35,36,57,61,21,15,25,46,38
29,42,25,51,45,11,18,31,23,60,44,46,42,20,11,25,0,11,22,40,57,35,36,47,57,55
30,40,32,52,50,10,20,25,13,58,39,38,45,25,22,35,11,0,18,31,53,41,44,55,60,60
15,22,27,35,40,11,11,10,10,40,22,25,30,18,30,36,22,18,0,20,35,32,39,49,45,49
32,28,47,42,56,30,31,11,17,40,15,7,43,38,50,57,40,31,20,0,30,50,58,68,55,64
31,16,49,22,46,46,40,29,41,11,15,25,30,42,62,61,57,53,35,30,0,45,55,60,36,49
18,29,10,26,10,31,22,39,41,41,42,51,15,15,31,21,35,41,32,50,45,0,10,18,25,20
26,39,12,36,14,36,28,47,48,50,52,60,25,21,30,15,36,44,39,58,55,10,0,11,32,22
36,46,23,40,15,47,39,57,58,55,60,69,30,32,40,25,47,55,49,68,60,18,11,0,31,18
30,27,34,14,18,50,40,47,55,26,43,54,15,36,55,46,57,60,45,55,36,25,32,31,0,15
33,37,30,26,10,50,41,54,59,41,53,63,21,35,50,38,55,60,49,64,49,20,22,18,15,0
