0,18,20,16,18,15,19,16,18,20,16,19,38,30,39,36,40,33,35,39,10,10,12,13,15,15
18,0,2,3,3,4,5,5,7,7,10,10,26,24,28,27,30,27,30,32,23,21,23,21,26,25
20,2,0,5,3,5,5,6,7,7,10,10,25,23,27,26,29,27,30,31,25,23,24,22,28,26
16,3,5,0,2,1,3,2,4,5,7,7,25,21,27,26,29,25,28,30,20,18,19,17,23,22
18,3,3,2,0,3,2,2,4,4,7,7,24,21,26,25,27,25,27,29,21,20,21,19,24,23
15,4,5,1,3,0,4,2,5,6,7,8,26,22,28,26,29,26,28,30,19,17,19,17,22,21
19,5,5,3,2,4,0,3,2,2,5,5,21,18,24,22,25,22,25,27,21,19,20,18,24,22
16,5,6,2,2,2,3,0,2,4,5,5,24,20,26,24,27,23,26,28,18,17,18,16,21,20
18,7,7,4,4,5,2,2,0,2,3,3,21,17,23,21,24,21,24,25,19,17,18,16,22,20
20,7,7,5,4,6,2,4,2,0,5,3,19,16,21,20,23,20,23,25,21,19,20,18,23,22
16,10,10,7,7,7,5,5,3,5,0,3,21,15,23,20,24,19,21,24,16,14,15,13,18,17
19,10,10,7,7,8,5,5,3,3,3,0,18,14,20,18,21,18,20,22,19,17,18,15,21,19
38,26,25,25,24,26,21,24,21,19,21,18,0,10,3,7,5,12,14,11,35,33,33,30,35,33
30,24,23,21,21,22,18,20,17,16,15,14,10,0,10,5,10,4,7,8,26,24,23,20,25,23
39,28,27,27,26,28,24,26,23,21,23,20,3,10,0,5,2,10,12,8,35,33,33,30,35,33
36,27,26,26,25,26,22,24,21,20,20,18,7,5,5,0,5,5,7,5,31,29,29,26,30,28
40,30,29,29,27,29,25,27,24,23,24,21,5,10,2,5,0,10,11,7,36,34,33,31,35,33
33,27,27,25,25,26,22,23,21,20,19,18,12,4,10,5,10,0,3,5,27,25,25,22,25,24
35,30,30,28,27,28,25,26,24,23,21,20,14,7,12,7,11,3,0,5,29,27,26,23,26,25
39,32,31,30,29,30,27,28,25,25,24,22,11,8,8,5,7,5,5,0,33,31,30,28,31,29
10,23,25,20,21,19,21,18,19,21,16,19,35,26,35,31,36,27,29,33,0,2,2,5,5,5
10,21,23,18,20,17,19,17,17,19,14,17,33,24,33,29,34,25,27,31,2,0,2,3,5,5
12,23,24,19,21,19,20,18,18,20,15,18,33,23,33,29,33,25,26,30,2,2,0,3,3,3
13,21,22,17,19,17,18,16,16,18,13,15,30,20,30,26,31,22,23,28,5,3,3,0,5,4
15,26,28,23,24,22,24,21,22,23,18,21,35,25,35,30,35,25,26,31,5,5,3,5,0,2
15,25,26,22,23,21,22,20,20,22,17,19,33,23,33,28,33,24,25,29,5,5,3,4,2,0
