0,15,18,22,25,20,11,21,26,32,25,33,15,11,32,30,29,30,15,32,31,18,26,36,30,33,11,5,6,29,25,17,34,24,36,41,41,21,42,33,11,28,25,34,31,29,35,34,27,43,16
15,0,32,14,32,32,24,21,31,17,15,26,16,26,46,45,42,40,22,28,16,29,39,46,27,37,19,10,12,24,11,10,20,12,24,27,40,35,56,41,24,42,40,49,46,36,39,33,28,39,6
18,32,0,34,20,23,16,36,36,47,43,50,23,9,21,13,25,32,27,47,49,10,12,23,34,30,16,23,20,38,43,35,52,39,48,55,54,15,32,25,9,12,12,18,24,35,45,47,41,58,32
22,14,34,0,25,42,33,35,45,15,29,40,11,32,53,47,51,52,35,42,22,26,36,40,14,26,18,20,16,9,21,25,31,7,14,21,55,43,64,33,25,40,45,52,53,49,53,48,42,54,8
25,32,20,25,0,41,31,46,50,40,47,57,15,25,41,29,45,50,40,56,46,10,14,15,18,10,14,28,22,23,42,40,52,32,36,45,66,35,52,9,15,18,32,36,44,52,59,59,52,68,28
20,32,23,42,41,0,10,20,13,50,33,35,35,15,20,29,11,10,11,30,46,31,36,47,50,50,30,22,26,50,39,27,43,43,55,59,32,11,26,48,25,35,20,28,16,12,22,26,22,39,36
11,24,16,33,31,10,0,20,19,42,30,35,25,7,22,25,18,20,11,31,40,22,28,39,40,41,20,14,17,40,33,22,40,35,47,51,37,11,32,39,15,28,18,27,21,20,29,31,25,42,27
21,21,36,35,46,20,20,0,12,36,14,15,33,26,40,46,31,25,10,11,29,39,47,57,47,54,32,18,24,44,22,11,24,33,45,45,20,30,47,55,32,48,38,47,37,18,18,13,7,22,27
26,31,36,45,50,13,19,12,0,48,26,24,40,26,33,42,23,13,10,17,41,41,48,58,55,59,37,25,31,54,34,22,36,43,56,57,18,25,38,58,34,48,34,42,29,6,9,13,9,25,37
32,17,47,15,40,50,42,36,48,0,25,35,25,43,64,60,60,58,40,40,11,41,50,55,26,41,31,28,26,20,15,25,21,8,11,9,53,53,74,48,38,54,57,65,63,53,54,47,42,49,15
